Name,Email,Role,App access,Groups,Date added
Oakley Shah,sage.park@ext-9c4f44.com,User,Designer,members Bootcamp_US_June_2025 Cognizant,2025-06-27T15:51:39.438Z
Oakley Wells,tatum.adams@ext-9c4f44.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T09:22:04.542Z
Brett Harris,avery.jensen@ext-023686.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:15:44.069Z
Morgan Davis,alex.baker@snaplogic.com,Environment admin,Designer,members admins,2025-09-02T20:54:34.821Z
Zion Tran,xen.patel@snaplogic.com,Environment admin,Designer,members admins,2023-05-02T22:55:41.744Z
Yuki Nguyen,skyler.xia@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:23.645Z
Mack Osei,river.vega@ext-b19511.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:18:58.144Z
Finley Moss,indira.chen@ext-40fcab.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:10:04.422Z
Harper Ibarra,noel.shah@ext-7e0fff.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:07:51.160Z
Zara Ueda,devon.diaz@ext-e95451.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:02:32.800Z
Noel Miller,kelly.adams@ext-51bb1d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T17:42:38.758Z
Tatum Jensen,noel.torres@ext-2ba04b.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:15:57.069Z
Fern Reid,xander.luna@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:07:49.744Z
Finley Garcia,yael.davis@ext-8de689.com,User,Designer AutoSync,members AgentCreatorTraining,2024-10-03T13:01:14.346Z
Drew Park,mack.york@ext-9a0743.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2026-01-11T22:26:48.415Z
Gray Wang,fern.patel@snaplogic.com,Environment admin,Designer,members admins,2025-05-15T23:57:44.117Z
Lee Ueda,harper.xia@ext-138750.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2024-09-17T11:29:28.569Z
Kelly Tran,tatum.wang@ext-1ea88d.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:45.659Z
Dana Miller,brett.baker@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:19.796Z
Umber Moss,devon.flynn@ext-7e0fff.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:07:38.312Z
Brett Iyer,yael.flynn@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 Infosys,2025-11-23T18:44:53.563Z
Finley Miller,avery.garcia@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:04.495Z
Quinn Ellis,taylor.adams@snaplogic.com,User,Designer,members Bootcamp_US_June_2025,2025-06-27T15:45:39.005Z
Casey Reyes,oakley.ueda@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:37:25.153Z
Finley Xu,dana.reyes@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:25:07.128Z
Oakley Vance,willow.xia@snaplogic.com,User,Designer,members,2026-01-31T17:18:01.769Z
Wren Kim,drew.flynn@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-01-02T20:56:26.372Z
Skyler Flynn,vale.miller@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-07-16T14:53:29.372Z
Jordan Ortiz,drew.nguyen@ext-7f91a9.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:32:38.611Z
Fern Torres,skyler.adams@ext-e5463a.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:10:34.236Z
Jordan Shah,nash.xu@snaplogic.com,Environment admin,Designer,members admins,2026-03-16T20:48:18.665Z
Uli Yamada,kelly.ueda@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:16.597Z
Zion Grant,umber.luna@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-02-22T16:40:20.127Z
Umber Evans,parker.singh@ext-9c4f44.com,User,Designer,members Bootcamp_EMEA_February_2026,2024-02-21T06:58:01.137Z
Alex Grant,gray.wells@ext-2c0c28.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-10-06T16:08:28.482Z
Nash Vance,noel.wells@ext-387eea.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:50.039Z
Quinn Grant,uli.utley@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:42:50.259Z
Oakley Tran,casey.luna@ext-591bfe.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T08:51:53.940Z
Yuki Park,finley.flynn@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 Infosys,2025-08-11T07:57:21.636Z
Nash Knox,parker.davis@ext-1dfcd7.com,User,Designer AutoSync,members IWC AgentCreatorBootcamp_EMEA_May_2025 IWConnectDemos,2025-03-25T12:13:13.996Z
Drew Quinn,lee.holt@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-20T08:37:19.222Z
Vesper Diaz,river.brooks@ext-591bfe.com,User,Designer AutoSync,members,2024-09-06T08:38:11.858Z
Wren Yamada,oakley.wang@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:42:29.461Z
Parker Holt,casey.quinn@ext-7bf6fa.com,User,Designer AutoSync,members AgentCreatorSHSTraining,2025-04-28T10:43:46.164Z
Lee Zhu,avery.luna@ext-9bcd09.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:15:14.510Z
Fern Ortiz,lane.davis@ext-f17098.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:14:31.203Z
Yuki Brooks,eden.iyer@ext-a876a8.com,User,Designer,members Sriven AgentCreatorBootcamp_EMEA_January_2026,2026-01-07T13:51:06.860Z
Harper Garcia,jordan.baker@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2025-10-20T13:23:34.000Z
Yuki Wang,fern.nguyen@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:32.599Z
Sage Luna,yael.kim@ext-680c47.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:14:19.611Z
Taylor Ueda,finley.holt@ext-1cbba8.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:20:42.887Z
Xen Nguyen,drew.diaz@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-02-18T15:56:24.894Z
Wren Cooper,uli.yamada@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-07-15T14:28:00.871Z
Oakley Davis,avery.evans@ext-02ceb9.com,User,Designer,members,2025-11-06T18:24:33.981Z
Umber Vega,lee.baker@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:42.358Z
Quinn Wang,vesper.baker@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:05.098Z
Oakley Wang,yuki.luna@ext-445152.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-02-02T17:13:21.342Z
Blake Cooper,tatum.york@ext-2d8726.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:51:27.761Z
Harper Zhang,harper.yamada@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:52:48.997Z
Blake Garcia,skyler.zhu@snaplogic.com,Environment admin,Designer,members admins AgentCreatorBootcamp_AMEA_August_2025 AgentCreatorBootcamp_EMEA_January_2026,2023-11-21T14:59:53.304Z
Jamie Harris,reese.miller@ext-298aa5.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:06:03.983Z
Ellis Ellis,finley.ueda@ext-1dfcd7.com,User,Designer AutoSync,members IWC AgentCreatorPartnerTraining IWConnectDemos,2025-01-28T09:49:34.657Z
Charlie Zhang,casey.yamada@ext-6d35fd.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:09:43.247Z
Xander Moss,brett.osei@snaplogic.com,User,Designer,members,2026-01-31T17:18:22.125Z
Wren Zhang,finley.kim@ext-321b87.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:16:20.448Z
Alex Reyes,willow.ueda@ext-721234.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:10.743Z
Xander Utley,quinn.baker@ext-2d8726.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:41.128Z
Kai Vega,oakley.xia@ext-591bfe.com,User,,members_devportal,2025-01-09T17:19:20.707Z
Zion Reyes,jordan.wells@ext-6158a9.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T17:42:44.198Z
Yuki Grant,harper.grant@snaplogic.com,User,Designer,members,2026-01-31T17:18:28.414Z
Eden Iyer,willow.grant@ext-26da4f.com,User,Designer,members Bootcamp_US_June_2025 Infosys,2025-06-27T15:52:01.332Z
Tatum Holt,nash.reid@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AC_Bootcamp_US_February_2026,2025-10-06T16:15:18.007Z
Indira Utley,zara.wells@snaplogic.com,User,Designer,members,2026-01-31T17:18:35.308Z
Xander Moss,zara.quinn@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:04.464Z
Tatum Moss,eden.lopez@snaplogic.com,User,Designer,members,2026-01-31T17:18:42.749Z
Drew Jensen,tatum.flynn@ext-a876a8.com,User,Designer,members AC_Bootcamp_US_February_2026 Bootcamp_EMEA_February_2026,2026-01-31T18:39:39.446Z
Yuki Park,vale.quinn@ext-591bfe.com,User,Designer,members Bootcamp_EMEA_February_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-02-22T12:14:42.919Z
Reese Knox,reese.lopez@ext-7e0fff.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:23:48.442Z
Dana Quinn,willow.wang@ext-9c4f44.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T09:21:43.232Z
Jamie Vega,blake.miller@ext-44cf86.com,User,Designer,members AgentCreatorPartnerTraining AgentCreatorBootcamp_EMEA_January_2026,2024-10-22T11:59:26.556Z
Mack Brooks,sage.xia@ext-6e4f12.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2024-10-11T11:49:14.212Z
Harper Ortiz,river.chen@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:48:33.436Z
Dana Shah,morgan.ueda@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-12T10:42:19.303Z
Charlie Singh,yael.lopez@ext-138750.com,User,Designer,members Bootcamp_EMEA_February_2026,2025-10-24T08:16:19.915Z
Jamie Knox,uli.garcia@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 Bootcamp_EMEA_February_2026,2025-11-23T18:51:20.320Z
Indira York,sage.osei@ext-9f4eff.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-20T13:10:27.911Z
Zara Foster,taylor.iyer@ext-1dfcd7.com,User,Designer AutoSync,members IWC AgentCreatorPartnerTraining IWConnectDemos,2025-01-28T09:49:56.906Z
Skyler Zhu,quinn.xu@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:08:36.357Z
Devon Wang,indira.reyes@ext-7bf6fa.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:52:05.706Z
Dana Foster,dana.knox@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-18T08:38:40.972Z
Tatum Baker,indira.ueda@ext-44cf86.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:17:53.209Z
Tatum Ellis,indira.harris@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:36.093Z
Kelly Vega,finley.vega@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-03-22T19:06:00.206Z
Vesper Johal,morgan.zhang@ext-a876a8.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:39:52.891Z
Kelly Ortiz,devon.nash@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-10-09T07:21:34.659Z
Tatum Nguyen,oakley.flynn@snaplogic.com,User,,members,2025-04-15T07:54:02.269Z
Umber Vega,vale.baker@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:34.989Z
Drew Vance,dana.singh@snaplogic.com,User,Designer,members Bootcamp_US_June_2025 US_Bootcamp_August_2025,2023-10-10T10:28:01.642Z
Brett York,uli.vega@ext-87f55d.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:51:48.479Z
Devon Holt,taylor.harris@snaplogic.com,User,Designer,members,2026-01-31T17:18:50.957Z
Brett Zhu,reese.diaz@ext-9c4f44.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025 AgentCreatorBootcamp_EMEA_June_2025_GroupB Cognizant,2024-02-21T05:42:30.985Z
